"","Año","Mes","Estado","Superficie Sembrada (ha)","Superficie cosechada (ha)","Producción obtenida (ton)"
"278",2004,"Enero","CHIAPAS","525","0","0"
"1",2004,"Enero","CAMPECHE","0","0","0"
"2",2004,"Enero","YUCATAN","0","0","0"
"3",2004,"Enero","COAHUILA","0","0","0"
"4",2004,"Enero","CHIHUAHUA","0","0","0"
"5",2004,"Enero","NUEVO LEON","0","0","0"
"6",2004,"Enero","QUINTANA ROO","0","0","0"
"7",2004,"Enero","SAN LUIS POTOSI","0","0","0"
"8",2004,"Enero","SINALOA","0","0","0"
"9",2004,"Enero","SONORA","0","0","0"
"10",2004,"Enero","TAMAULIPAS","0","0","0"
"11",2004,"Enero","VERACRUZ","0","0","0"
"12",2004,"Enero","JALISCO","0","0","0"
"14",2004,"Enero","PUEBLA","0","0","0"
"16",2004,"Enero","NAYARIT","0","0","0"
"328",2004,"Febrero","CAMPECHE","1772","1772","3284"
"329",2004,"Febrero","CHIAPAS","11838","10858","25847"
"330",2004,"Febrero","CHIHUAHUA","56","56","107"
"331",2004,"Febrero","NAYARIT","1","1","1"
"332",2004,"Febrero","NUEVO LEON","450","450","1010"
"333",2004,"Febrero","SAN LUIS POTOSI","11463","11426","22032"
"334",2004,"Febrero","SINALOA","309","309","581"
"335",2004,"Febrero","TAMAULIPAS","63534","56920","59438"
"336",2004,"Febrero","VERACRUZ","6997","35","60"
"149",2004,"Febrero","YUCATAN","0","0","0"
"225",2004,"Febrero","COAHUILA","0","0","0"
"314",2004,"Febrero","QUINTANA ROO","0","0","0"
"413",2004,"Febrero","SONORA","0","0","0"
"514",2004,"Febrero","JALISCO","0","0","0"
"78",2004,"Febrero","PUEBLA","0","0","0"
"3261",2004,"Marzo","CAMPECHE","1772","1772","3284"
"3271",2004,"Marzo","CHIAPAS","11838","10858","25847"
"3281",2004,"Marzo","CHIHUAHUA","56","56","107"
"3291",2004,"Marzo","NAYARIT","1","1","1"
"3301",2004,"Marzo","NUEVO LEON","450","450","1010"
"3311",2004,"Marzo","SAN LUIS POTOSI","11463","11426","22032"
"3321",2004,"Marzo","SINALOA","309","309","581"
"3331",2004,"Marzo","TAMAULIPAS","63534","56920","59438"
"3341",2004,"Marzo","VERACRUZ","6997","6997","20946"
"190",2004,"Marzo","YUCATAN","0","0","0"
"247",2004,"Marzo","COAHUILA","0","0","0"
"337",2004,"Marzo","QUINTANA ROO","0","0","0"
"427",2004,"Marzo","SONORA","0","0","0"
"528",2004,"Marzo","JALISCO","0","0","0"
"716",2004,"Marzo","PUEBLA","0","0","0"
"2451",2004,"Abril","NAYARIT","1","1","1"
"2461",2004,"Abril","TAMAULIPAS","579","0","0"
"2471",2004,"Abril","VERACRUZ","35","35","60"
"1122",2004,"Abril","CAMPECHE","0","0","0"
"275",2004,"Abril","CHIAPAS","0","0","0"
"352",2004,"Abril","YUCATAN","0","0","0"
"445",2004,"Abril","COAHUILA","0","0","0"
"543",2004,"Abril","CHIHUAHUA","0","0","0"
"628",2004,"Abril","NUEVO LEON","0","0","0"
"724",2004,"Abril","QUINTANA ROO","0","0","0"
"822",2004,"Abril","SAN LUIS POTOSI","0","0","0"
"924",2004,"Abril","SINALOA","0","0","0"
"1017",2004,"Abril","SONORA","0","0","0"
"1123",2004,"Abril","JALISCO","0","0","0"
"1318",2004,"Abril","PUEBLA","0","0","0"
"2581",2004,"Mayo","NAYARIT","1","1","1"
"2592",2004,"Mayo","TAMAULIPAS","579","349","644"
"2603",2004,"Mayo","VERACRUZ","35","35","60"
"1150",2004,"Mayo","CAMPECHE","0","0","0"
"299",2004,"Mayo","CHIAPAS","0","0","0"
"368",2004,"Mayo","YUCATAN","0","0","0"
